bugs.nonResolvedClosedBugs,"[{'Bugs': 0, 'Date': '20190309'}, {'Bugs': 0, 'Date': '20190310'}, {'Bugs': 0, 'Date': '20190330'}, {'Bugs': 0, 'Date': '20190331'}, {'Bugs': 1, 'Date': '20190406'}, {'Bugs': 2, 'Date': '20190407'}]"
bugs.patches,"[{'Patches': 0, 'Date': '20190301'}, {'Patches': 0, 'Date': '20190302'}, {'Patches': 0, 'Date': '20190303'}, {'Patches': 0, 'Date': '20190304'}, {'Patches': 0, 'Date': '20190305'}, {'Patches': 0, 'Date': '20190306'}, {'Patches': 0, 'Date': '20190307'}, {'Patches': 0, 'Date': '20190308'}, {'Patches': 0, 'Date': '20190309'}, {'Patches': 0, 'Date': '20190310'}, {'Patches': 0, 'Date': '20190311'}, {'Patches': 0, 'Date': '20190312'}, {'Patches': 0, 'Date': '20190313'}, {'Patches': 0, 'Date': '20190314'}, {'Patches': 0, 'Date': '20190315'}, {'Patches': 0, 'Date': '20190316'}, {'Patches': 0, 'Date': '20190317'}, {'Patches': 0, 'Date': '20190318'}, {'Patches': 0, 'Date': '20190319'}, {'Patches': 0, 'Date': '20190320'}, {'Patches': 0, 'Date': '20190321'}, {'Patches': 0, 'Date': '20190322'}, {'Patches': 0, 'Date': '20190323'}, {'Patches': 0, 'Date': '20190324'}, {'Patches': 0, 'Date': '20190325'}, {'Patches': 0, 'Date': '20190326'}, {'Patches': 0, 'Date': '20190327'}, {'Patches': 0, 'Date': '20190328'}, {'Patches': 0, 'Date': '20190329'}, {'Patches': 0, 'Date': '20190330'}, {'Patches': 0, 'Date': '20190331'}, {'Patches': 0, 'Date': '20190401'}, {'Patches': 0, 'Date': '20190402'}, {'Patches': 0, 'Date': '20190403'}, {'Patches': 0, 'Date': '20190404'}, {'Patches': 0, 'Date': '20190405'}, {'Patches': 0, 'Date': '20190406'}, {'Patches': 0, 'Date': '20190407'}, {'Patches': 0, 'Date': '20190408'}, {'Patches': 0, 'Date': '20190409'}, {'Patches': 0, 'Date': '20190410'}, {'Patches': 0, 'Date': '20190411'}, {'Patches': 0, 'Date': '20190412'}]"
bugs.replies,"[{'Date': '20190309', 'Replies': 0}, {'Date': '20190310', 'Replies': 0}, {'Date': '20190330', 'Replies': 0}, {'Date': '20190331', 'Replies': 0}, {'Date': '20190406', 'Replies': 0}, {'Date': '20190407', 'Replies': 0}]"
bugs.replies-averageperday,"[{'Date': '20190309', 'Replies': 0.0}, {'Date': '20190310', 'Replies': 0.0}, {'Date': '20190330', 'Replies': 0.0}, {'Date': '20190331', 'Replies': 0.0}, {'Date': '20190406', 'Replies': 0.0}, {'Date': '20190407', 'Replies': 0.0}]"
bugs.replies-bugaverage,"[{'Date': '20190309', 'Replies': 0.0}, {'Date': '20190310', 'Replies': 0.0}, {'Date': '20190330', 'Replies': 0.0}, {'Date': '20190331', 'Replies': 0.0}, {'Date': '20190406', 'Replies': 0.0}, {'Date': '20190407', 'Replies': 0.0}]"
bugs.replies-useraverage,"[{'Date': '20190309', 'Replies': 0.0}, {'Date': '20190310', 'Replies': 0.0}, {'Date': '20190330', 'Replies': 0.0}, {'Date': '20190331', 'Replies': 0.0}, {'Date': '20190406', 'Replies': 0.0}, {'Date': '20190407', 'Replies': 0.0}]"
bugs.requests,"[{'Requests': 0, 'Date': '20190309'}, {'Requests': 0, 'Date': '20190310'}, {'Requests': 0, 'Date': '20190330'}, {'Requests': 0, 'Date': '20190331'}, {'Requests': 0, 'Date': '20190406'}, {'Requests': 0, 'Date': '20190407'}]"
bugs.requests-averageperday,"[{'Requests': 0.0, 'Date': '20190309'}, {'Requests': 0.0, 'Date': '20190310'}, {'Requests': 0.0, 'Date': '20190330'}, {'Requests': 0.0, 'Date': '20190331'}, {'Requests': 0.0, 'Date': '20190406'}, {'Requests': 0.0, 'Date': '20190407'}]"
bugs.requests-bugaverage,"[{'Requests': 0.0, 'Date': '20190309'}, {'Requests': 0.0, 'Date': '20190310'}, {'Requests': 0.0, 'Date': '20190330'}, {'Requests': 0.0, 'Date': '20190331'}, {'Requests': 0.0, 'Date': '20190406'}, {'Requests': 0.0, 'Date': '20190407'}]"
bugs.requests-useraverage,"[{'Requests': 0.0, 'Date': '20190309'}, {'Requests': 0.0, 'Date': '20190310'}, {'Requests': 0.0, 'Date': '20190330'}, {'Requests': 0.0, 'Date': '20190331'}, {'Requests': 0.0, 'Date': '20190406'}, {'Requests': 0.0, 'Date': '20190407'}]"
